fips,county,bbox
01085,"Lowndes County, AL","31.962107,32.4068241,-86.9084002,-86.3946379"
01087,"Macon County, AL","32.233173,32.596184,-86.0233834,-85.4332119"
01089,"Madison County, AL","34.476662,34.99207,-86.789595,-86.2583009"
01091,"Marengo County, AL","31.989861,32.5476413,-88.1183036,-87.4705543"
01093,"Marion County, AL","33.914726,34.321054,-88.2072289,-87.6339719"
01095,"Marshall County, AL","34.099346,34.600098,-86.5817489,-86.0568309"
01097,"Mobile County, AL","30.1384813,31.1734642,-88.4320129,-87.924204"
01099,"Monroe County, AL","31.228712,31.831429,-87.7848372,-86.9060209"
01101,"Montgomery County, AL","31.964949,32.5017263,-86.4985303,-85.9188999"
01103,"Morgan County, AL","34.304897,34.686329,-87.1102219,-86.5493974"
01105,"Perry County, AL","32.2952614,32.87569,-87.5251539,-87.0178679"
01107,"Pickens County, AL","32.9915606,33.534008,-88.34074,-87.8362959"
01109,"Pike County, AL","31.61665,32.061825,-86.1987919,-85.6601409"
01111,"Randolph County, AL","33.106735,33.501747,-85.6532359,-85.2323779"
01113,"Russell County, AL","32.062336,32.5107503,-85.4341199,-84.8882459"
01115,"St. Clair County, AL","33.3917553,33.990044,-86.5778659,-86.0435759"
01117,"Shelby County, AL","33.0186603,33.546638,-87.0267559,-86.3410319"
01119,"Sumter County, AL","32.307445,32.9961545,-88.4214529,-87.8405641"
01121,"Talladega County, AL","33.102974,33.6994712,-86.5031903,-85.7945709"
01123,"Tallapoosa County, AL","32.4927384,33.107647,-86.0131529,-85.5927199"
01125,"Tuscaloosa County, AL","33.004238,33.610226,-87.8403469,-87.0653759"
01127,"Walker County, AL","33.513161,34.005749,-87.6361159,-86.9532169"
01129,"Washington County, AL","31.1145329,31.6993552,-88.4642876,-87.8891678"
01131,"Wilcox County, AL","31.827288,32.272476,-87.6678735,-86.8553318"
01133,"Winston County, AL","33.985142,34.307209,-87.6366039,-87.1095499"
02013,"Aleutians East Borough, AK","53.91608,56.945108,-166.2256469,-158.8908178"
02016,"Aleutians West Census Area, AK","51.175092,57.305269,-179.2310859,179.859681"
02020,"Anchorage Municipality, AK","61.0563129,61.3763129,-150.0548522,-149.7348522"
02050,"Bethel Census Area, AK","58.496019,62.295331,-173.2368299,-153.0010509"
02060,"Bristol Bay Borough, AK","58.60961,58.894948,-158.0014989,-156.3172169"
02068,"Denali Borough, AK","62.722992,64.365138,-153.0013389,-146.9720139"
02070,"Dillingham Census Area, AK","58.33414,61.00057,-161.3687279,-155.9536239"
02090,"Fairbanks North Star Borough, AK","64.257854,65.454475,-148.6671639,-143.8847949"
02100,"Haines Borough, AK","58.12273,59.7283919,-136.4957567,-134.313489"
02105,"Hoonah-Angoon Census Area, AK","56.86397,59.41062,-138.0285749,-132.3697912"
02110,"Juneau City and Borough, AK","58.1419496,58.4619496,-134.5797339,-134.2597339"
02122,"Kenai Peninsula Borough, AK","58.645009,61.428157,-154.7487679,-148.5623679"
02130,"Ketchikan Gateway Borough, AK","54.6826331,56.4060047,-132.2680569,-129.9741671"
02150,"Kodiak Island Borough, AK","55.699912,59.017887,-156.9031529,-151.6905049"
02164,"Lake and Peninsula Borough, AK","55.628871,60.908538,-159.9036518,-153.3931949"
02170,"Matanuska-Susitna Borough, AK","61.07796,63.482913,-153.0051149,-146.4252199"
02180,"Nome Census Area, AK","62.884908,66.626301,-171.9653189,-159.3793699"
02185,"North Slope Borough, AK","67.99894,71.441059,-166.9855109,-141.000602"
02188,"Northwest Arctic Borough, AK","65.435857,68.301027,-165.5555699,-154.1322789"
02195,"Petersburg Census Area, AK","64.739419,64.741256,-155.4843829,-155.4822439"
02198,"Prince of Wales-Hyder Census Area, AK","54.632045,56.389703,-134.0269779,-130.0034848"
02220,"Sitka City and Borough, AK","56.145021,58.001387,-136.4544789,-134.4365409"
02230,"Skagway Municipality, AK","59.340621,59.7980414,-135.7230904,-134.9897442"
02240,"Southeast Fairbanks Census Area, AK","61.90103,65.8395343,-147.0031849,-141.0012799"
02261,"Valdez-Cordova Census Area, AK","59.334013,63.222611,-148.9802019,-141.0015922"
02270,"Wade Hampton Census Area, AK","60.917108,63.317355,-166.2886129,-160.1866599"
02275,"Wrangell City and Borough, AK","55.636609,56.903305,-133.1693619,-130.9979239"
02282,"Yakutat City and Borough, AK","58.781314,60.527746,-143.8899519,-137.4999998"
02290,"Yukon-Koyukuk Census Area, AK","61.945454,68.507297,-161.0478209,-141.0009008"
04001,"Apache County, AZ","33.475681,36.999346,-110.0010693,-109.0451999"
04003,"Cochise County, AZ","31.3325074,32.4292221,-110.4564601,-109.0476184"
04005,"Coconino County, AZ","34.256798,37.0030461,-113.3527452,-110.7504809"
04007,"Gila County, AZ","32.986198,34.499107,-111.7209009,-110.0003129"
04009,"Graham County, AZ","32.4244651,33.652889,-110.4534149,-109.1131289"
04011,"Greenlee County, AZ","32.4267811,33.77758,-109.4951019,-109.0465638"
04012,"La Paz County, AZ","33.0254058,34.31926,-114.731474,-113.3319553"
04013,"Maricopa County, AZ","32.504536,34.04739,-113.3337549,-111.0350941"
04015,"Mohave County, AZ","34.20977,37.000753,-114.7556179,-112.5306169"
04017,"Navajo County, AZ","33.567482,37.00426,-110.7518238,-109.8266069"
04019,"Pima County, AZ","31.4254941,32.514679,-113.3339919,-110.4437029"
04021,"Pinal County, AZ","32.501888,33.4661453,-112.2037359,-110.4484249"
04023,"Santa Cruz County, AZ","31.332177,31.734966,-111.365685,-110.4482581"
04025,"Yavapai County, AZ","33.88216,35.530651,-113.3344799,-111.4611889"
04027,"Yuma County, AZ","32.0388751,33.46706,-114.8183583,-113.3285979"
05001,"Arkansas County, AR","33.937759,34.566502,-91.7117389,-91.0537799"
05003,"Ashley County, AR","33.0061812,33.395302,-92.1437247,-91.4564669"
05005,"Baxter County, AR","35.973545,36.498738,-92.5948869,-92.1545366"
05007,"Benton County, AR","36.098824,36.4996,-94.6178119,-93.8693469"
05009,"Boone County, AR","36.114414,36.4983513,-93.3009949,-92.8541775"
05011,"Bradley County, AR","33.161339,33.70639,-92.3820039,-91.9583589"
05013,"Calhoun County, AR","33.269836,33.801327,-92.7768019,-92.3096999"
05015,"Carroll County, AR","36.121082,36.499179,-93.8697739,-93.2976207"
05017,"Chicot County, AR","33.004106,33.565037,-91.4604189,-91.0436239"
05019,"Clark County, AR","33.770855,34.340649,-93.5029749,-92.8776169"
05021,"Clay County, AR","36.200615,36.4985432,-90.8043289,-90.0638908"
05023,"Cleburne County, AR","35.3580685,35.7155776,-92.2536987,-91.7886487"
05025,"Cleveland County, AR","33.702309,34.063251,-92.4753109,-91.9530559"
05027,"Columbia County, AR","33.016876,33.455238,-93.4906857,-92.9784849"
05029,"Conway County, AR","35.0714269,35.463596,-93.0408229,-92.4794689"
05031,"Craighead County, AR","35.700207,35.996419,-91.0354839,-90.2833859"
05033,"Crawford County, AR","35.347542,35.764847,-94.4931299,-93.8923427"
05035,"Crittenden County, AR","34.8333164,35.439884,-90.5054469,-90.0646119"
05037,"Cross County, AR","35.143021,35.450588,-91.0425259,-90.4997709"
05039,"Dallas County, AR","33.793228,34.155872,-92.9605099,-92.3333359"
05041,"Desha County, AR","33.515198,34.119038,-91.5560379,-90.8704609"
05043,"Drew County, AR","33.389011,33.79052,-92.0122379,-91.4504319"
05045,"Faulkner County, AR","34.8422331,35.368088,-92.5989989,-92.1116017"
05047,"Franklin County, AR","35.19976,35.7743089,-94.0820159,-93.6963729"
05049,"Fulton County, AR","36.2500998,36.4994617,-92.1593399,-91.4471789"
05051,"Garland County, AR","34.3891637,34.773533,-93.4076919,-92.7914579"
05053,"Grant County, AR","34.059162,34.495667,-92.6773529,-92.2092209"
05055,"Greene County, AR","35.96344,36.265968,-90.8543319,-90.1900528"
05057,"Hempstead County, AR","33.475815,34.008953,-93.9695969,-93.4559479"
05059,"Hot Spring County, AR","34.14994,34.505474,-93.4074479,-92.6690749"
05061,"Howard County, AR","33.74733,34.355511,-94.2591629,-93.8204879"
05063,"Independence County, AR","35.525791,35.942833,-91.8713909,-91.1973109"
05065,"Izard County, AR","35.867229,36.261875,-92.2137599,-91.6745829"
05067,"Jackson County, AR","35.354275,35.890034,-91.5852579,-91.0321039"
05069,"Jefferson County, AR","34.061237,34.492966,-92.2327499,-91.4387589"
05071,"Johnson County, AR","35.3268069,35.768559,-93.7101489,-93.1650919"
05073,"Lafayette County, AR","33.018616,33.482071,-93.8639979,-93.3644329"
05075,"Lawrence County, AR","35.88118,36.259266,-91.3602219,-90.7467039"
05077,"Lee County, AR","34.627487,34.9119672,-91.1030269,-90.4071146"
05079,"Lincoln County, AR","33.78194,34.175678,-91.9807509,-91.4194029"
05081,"Little River County, AR","33.533886,33.948204,-94.4858497,-93.8243259"
05083,"Logan County, AR","35.019875,35.4299579,-94.1435089,-93.2780331"
05085,"Lonoke County, AR","34.481808,35.075371,-92.1213839,-91.6301569"
05087,"Madison County, AR","35.7597352,36.307251,-93.9631143,-93.4460219"
05089,"Marion County, AR","39.384544,39.642265,-80.4979928,-79.9372408"
05091,"Miller County, AR","33.019139,33.613808,-94.0442576,-93.6656339"
05093,"Mississippi County, AR","35.3987525,36.000608,-90.2887998,-89.6422485"
05095,"Monroe County, AR","34.336231,35.0042635,-91.4478909,-91.0002669"
05097,"Montgomery County, AR","34.339714,34.747288,-93.9358519,-93.3936229"
05099,"Nevada County, AR","33.44067,33.959625,-93.4844209,-93.1050489"
05101,"Newton County, AR","35.724678,36.124905,-93.5262449,-92.9381259"
05103,"Ouachita County, AR","33.356533,33.822258,-93.1203379,-92.5673679"
05105,"Perry County, AR","34.7718574,35.1152316,-93.3058989,-92.5406039"
05107,"Phillips County, AR","34.117649,34.644207,-91.1201099,-90.5407359"
05109,"Pike County, AR","33.943668,34.349861,-93.9392399,-93.3672099"
05111,"Poinsett County, AR","35.438313,35.708233,-91.0390549,-90.2841569"
05113,"Polk County, AR","34.18974,34.728809,-94.4702933,-93.9307169"
05115,"Pope County, AR","35.1175657,35.728672,-93.2999569,-92.8103179"
05117,"Prairie County, AR","34.479736,35.091888,-91.8033599,-91.3440089"
05119,"Pulaski County, AR","34.489952,35.0146269,-92.7554437,-92.0297009"
05121,"Randolph County, AR","36.126396,36.4985322,-91.4113055,-90.7480389"
05123,"St. Francis County, AR","34.8671225,35.150913,-91.1525525,-90.3991849"
05125,"Saline County, AR","34.412891,34.858849,-93.0757449,-92.2446289"
05127,"Scott County, AR","34.664787,35.099823,-94.454584,-93.7051159"
05129,"Searcy County, AR","35.718189,36.115364,-92.9514159,-92.4116059"
05131,"Sebastian County, AR","34.930965,35.451122,-94.4478977,-94.0302889"
05133,"Sevier County, AR","33.750298,34.192513,-94.4773178,-93.9570389"
05135,"Sharp County, AR","35.891068,36.4976783,-91.7126539,-91.2616499"
05137,"Stone County, AR","35.7047636,36.129375,-92.4187929,-91.8363569"
05139,"Union County, AR","33.0089427,33.387333,-92.9888079,-92.0689813"
05141,"Van Buren County, AR","35.3633325,35.791286,-92.8499219,-92.2406987"
05143,"Washington County, AR","35.750313,36.238239,-94.55218,-93.8882679"
05145,"White County, AR","35.021149,35.5340705,-92.1197889,-91.3443909"
05147,"Woodruff County, AR","34.911118,35.445679,-91.4800339,-91.0399479"
05149,"Yell County, AR","34.743305,35.3175271,-93.7108379,-92.9220349"
06001,"Alameda County, CA","37.4539501,37.9066896,-122.3737487,-121.4690902"
06003,"Alpine County, CA","38.3279845,38.9334164,-120.0725835,-119.5422353"
06005,"Amador County, CA","38.2174857,38.7090956,-121.0273042,-120.0723655"
06007,"Butte County, CA","39.2957563,40.1517198,-122.0692551,-121.0765885"
06009,"Calaveras County, CA","37.8329059,38.5098748,-120.9956357,-120.0178419"
06011,"Colusa County, CA","38.9239077,39.4146319,-122.7850985,-121.7953489"
06013,"Contra Costa County, CA","37.7184794,38.1045118,-122.4415017,-121.5342718"
06015,"Del Norte County, CA","41.3808023,42.0009357,-124.4407069,-123.5178136"
06017,"El Dorado County, CA","38.5024005,39.0675101,-121.1487137,-119.8771407"
06019,"Fresno County, CA","35.9066756,37.586101,-120.9192484,-118.361279"
06021,"Glenn County, CA","39.3829788,39.8006233,-122.9382493,-121.8566453"
06023,"Humboldt County, CA","40.0013855,41.4657227,-124.4820029,-123.4057503"
06025,"Imperial County, CA","32.6184031,33.4338378,-116.1062734,-114.4627896"
06027,"Inyo County, CA","35.7865818,37.4649344,-118.7900514,-115.6480602"
06029,"Kern County, CA","34.7885387,35.7983076,-120.1941543,-117.6165918"
06031,"Kings County, CA","45.8588054,46.4901655,-62.8653997,-61.9549929"
06033,"Lake County, CA","38.6676515,39.5815189,-123.0941683,-122.3398197"
06035,"Lassen County, CA","39.7076285,41.1846248,-121.332002,-119.9956058"
06037,"Los Angeles County, CA","32.7969287,34.8232693,-118.9517193,-117.6464242"
06039,"Madera County, CA","36.7629085,37.7782353,-120.5453555,-119.0231338"
06041,"Marin County, CA","37.8138868,38.3211597,-123.0856609,-122.352458"
06043,"Mariposa County, CA","37.1830275,37.9027705,-120.3954368,-119.3091613"
06045,"Mendocino County, CA","38.758119,40.00247,-124.1348889,-122.8176735"
06047,"Merced County, CA","36.7404189,37.6335083,-121.2476183,-120.0524762"
06049,"Modoc County, CA","41.1838977,41.9977028,-121.4573352,-119.9986076"
06051,"Mono County, CA","37.4626559,38.7141993,-119.6513008,-117.8330522"
06053,"Monterey County, CA","35.7890391,36.9197626,-122.0518779,-120.2139462"
06055,"Napa County, CA","38.1548642,38.8643182,-122.6468083,-122.0613919"
06057,"Nevada County, CA","39.0052071,39.5269746,-121.2798333,-120.0031675"
06059,"Orange County, CA","33.333992,33.9475903,-118.1259059,-117.4127669"
06061,"Placer County, CA","38.7112111,39.3164742,-121.4844691,-120.0024754"
06063,"Plumas County, CA","39.5972855,40.4495391,-121.4981472,-120.09904"
06065,"Riverside County, CA","33.4259611,34.0801058,-117.67632,-114.4349243"
06067,"Sacramento County, CA","38.0182697,38.7363502,-121.8628052,-121.0270829"
06069,"San Benito County, CA","36.1967681,36.9888967,-121.6439039,-120.596659"
06071,"San Bernardino County, CA","33.8710043,35.8092552,-117.8025753,-114.1307815"
06073,"San Diego County, CA","32.5295236,33.5053899,-117.6110809,-116.0810298"
06075,"San Francisco County, CA","37.6933508,37.9298443,-123.1077878,-122.2817799"
06077,"San Joaquin County, CA","37.4819033,38.3001213,-121.5848662,-120.9170347"
06079,"San Luis Obispo County, CA","34.8975179,35.796655,-121.4381759,-119.4726199"
06081,"San Mateo County, CA","37.053858,37.708431,-122.5881769,-122.0816989"
06083,"Santa Barbara County, CA","34.326922,35.114665,-120.7343819,-119.4403801"
06085,"Santa Clara County, CA","36.8931127,37.4846335,-122.2026562,-121.2082945"
06087,"Santa Cruz County, CA","36.8196,37.2854853,-122.3175409,-121.5822936"
06089,"Shasta County, CA","40.2854246,41.185405,-123.0690572,-121.3195675"
06091,"Sierra County, CA","39.3913098,39.7768924,-121.0581589,-120.0011546"
06093,"Siskiyou County, CA","40.9921574,42.009499,-123.7192162,-121.4459737"
06095,"Solano County, CA","38.0319006,38.540307,-122.4070421,-121.593288"
06097,"Sonoma County, CA","38.0695272,38.8526549,-123.6324969,-122.3496965"
06099,"Stanislaus County, CA","37.1346558,38.0775105,-121.4850798,-120.3877797"
06101,"Sutter County, CA","38.7346401,39.3057062,-121.9480286,-121.4144713"
06103,"Tehama County, CA","39.7973976,40.4461616,-123.0660706,-121.3420272"
06105,"Trinity County, CA","39.9769628,41.3685544,-123.6237671,-122.4457965"
06107,"Tulare County, CA","35.7867015,36.7531474,-119.5733756,-117.9807868"
06109,"Tuolumne County, CA","37.6335083,38.4358565,-120.6531039,-119.1995074"
06111,"Ventura County, CA","33.9928632,34.9011755,-119.5009529,-118.6324461"
06113,"Yolo County, CA","38.3133402,38.9259921,-122.4229284,-121.5011699"
06115,"Yuba County, CA","38.9183362,39.6394125,-121.6363407,-121.0096252"
08001,"Adams County, CO","39.73613,40.0015685,-105.0531812,-103.7055358"
08003,"Alamosa County, CO","37.354908,37.751709,-106.0389478,-105.4506229"
08005,"Arapahoe County, CO","39.5632726,39.7401617,-105.0599253,-103.7059018"
08007,"Archuleta County, CO","36.992426,37.423546,-107.4795299,-106.4928359"
08009,"Baca County, CO","36.9930904,37.644282,-103.0861724,-102.0415849"
08011,"Bent County, CO","37.641697,38.265381,-103.4052509,-102.7388079"
08013,"Boulder County, CO","39.911716,40.26297,-105.6944289,-105.0501207"
08014,"Broomfield County, CO","39.8892725,40.044228,-105.1672563,-104.9611969"
08015,"Chaffee County, CO","38.420956,39.057854,-106.5998129,-105.8780899"
08017,"Cheyenne County, CO","38.61113,39.0453963,-103.1730578,-102.0452077"
08019,"Clear Creek County, CO","39.564453,39.852061,-105.9270569,-105.3945539"
08021,"Conejos County, CO","36.9930166,37.399799,-106.6759719,-105.7184592"
08023,"Costilla County, CO","36.9942298,37.656155,-105.7705229,-105.1314619"
08025,"Crowley County, CO","38.112186,38.523003,-104.0587008,-103.5003968"
08027,"Custer County, CO","37.889324,38.266018,-105.7942498,-105.0468059"
08029,"Delta County, CO","38.665684,39.218127,-108.3776018,-107.4992749"
08031,"Denver County, CO","39.6143154,39.9142087,-105.1098844,-104.5996888"
08033,"Dolores County, CO","37.4807655,37.896397,-109.0440158,-107.8615488"
08035,"Douglas County, CO","39.1295176,39.566406,-105.3290505,-104.6604291"
08037,"Eagle County, CO","39.349491,39.924889,-107.1137389,-106.1755679"
08039,"Elbert County, CO","38.8648799,39.5658976,-104.6625777,-103.7104701"
08041,"El Paso County, CO","38.5190195,39.130161,-105.070544,-104.051621"
08043,"Fremont County, CO","38.258228,38.6976093,-106.0123208,-104.9389949"
08045,"Garfield County, CO","39.365982,40.091473,-109.0514441,-107.0312729"
08047,"Gilpin County, CO","39.74498,39.936401,-105.7008529,-105.3939208"
08049,"Grand County, CO","39.68408,40.486186,-106.6520845,-105.6263299"
08051,"Gunnison County, CO","38.144493,39.257691,-107.6332629,-106.2456299"
08053,"Hinsdale County, CO","37.420906,38.146812,-107.5856628,-106.9977719"
08055,"Huerfano County, CO","37.286766,38.020191,-105.4991758,-104.3518069"
08057,"Jackson County, CO","40.323757,41.0011181,-106.8690488,-105.8515679"
08059,"Jefferson County, CO","39.1296628,39.914385,-105.3976059,-105.0452269"
08061,"Kiowa County, CO","38.264587,38.614002,-103.5088728,-102.0445678"
08063,"Kit Carson County, CO","39.037579,39.5739578,-103.1615138,-102.0465135"
08065,"Lake County, CO","39.0565172,39.383711,-106.5867429,-106.1358549"
08067,"La Plata County, CO","37.0000429,37.637749,-108.3796439,-107.4779364"
08069,"Larimer County, CO","40.2559697,41.0013099,-106.1952089,-104.9418949"
08071,"Las Animas County, CO","36.9937684,37.814774,-105.1566089,-103.0729599"
08073,"Lincoln County, CO","38.515934,39.565872,-104.0554864,-103.1527249"
08075,"Logan County, CO","40.433372,41.0021219,-103.581475,-102.6502079"
08077,"Mesa County, CO","38.499195,39.3665658,-109.0602533,-107.3771819"
08079,"Mineral County, CO","37.391895,37.974844,-107.1449658,-106.6918328"
08081,"Moffat County, CO","40.218998,41.0009352,-109.0509369,-107.3118588"
08083,"Montezuma County, CO","36.9989735,37.637749,-109.0460295,-107.9685899"
08085,"Montrose County, CO","38.151752,38.667801,-109.060256,-107.4989238"
08087,"Morgan County, CO","40.0002555,40.524071,-104.1504138,-103.4630969"
08089,"Otero County, CO","37.642311,38.264755,-104.0599438,-103.3965448"
08091,"Ouray County, CO","37.891163,38.331242,-108.1276398,-107.5068968"
08093,"Park County, CO","38.690659,39.565609,-106.2102059,-105.3289085"
08095,"Phillips County, CO","40.437794,40.7492179,-102.6642678,-102.0516229"
08097,"Pitkin County, CO","38.977691,39.366177,-107.4660949,-106.4269829"
08099,"Prowers County, CO","37.642796,38.268819,-102.7471079,-102.0415849"
08101,"Pueblo County, CO","37.731594,38.5222862,-105.0487438,-104.054087"
08103,"Rio Blanco County, CO","39.652161,40.223488,-109.0511337,-107.0354458"
08105,"Rio Grande County, CO","37.394573,37.834454,-106.7127609,-106.0376589"
08107,"Routt County, CO","39.919018,41.0010189,-107.4402469,-106.6242525"
08109,"Saguache County, CO","37.746532,38.455429,-107.0000949,-105.4276809"
08111,"San Juan County, CO","37.637226,37.970184,-107.9698938,-107.4570539"
08113,"San Miguel County, CO","37.772072,38.153099,-109.0451504,-107.7311098"
08115,"Sedgwick County, CO","40.747856,41.00236,-102.6537945,-102.0515775"
08117,"Summit County, CO","39.357355,39.924889,-106.4359209,-105.7754353"
08119,"Teller County, CO","38.645817,39.1297471,-105.3319272,-104.9389755"
08121,"Washington County, CO","39.564537,40.438137,-103.7066499,-102.7794269"
08123,"Weld County, CO","40.0001026,41.0017852,-105.0564728,-103.5729966"
08125,"Yuma County, CO","39.566528,40.440487,-102.8031618,-102.0498092"
09001,"Fairfield County, CT","40.9508815,41.666723,-73.7277749,-73.0651013"
09003,"Hartford County, CT","41.5448891,42.0387821,-73.0297239,-72.4080118"
09005,"Litchfield County, CT","41.4674869,42.050587,-73.5180799,-72.8871769"
09007,"Middlesex County, CT","41.2553421,41.647099,-72.7525053,-72.3053509"
09009,"New Haven County, CT","41.1687378,41.6444681,-73.3272583,-72.5362732"
09011,"New London County, CT","41.271706,41.714414,-72.4663849,-71.7876373"
09013,"Tolland County, CT","41.58855,42.0343757,-72.5186389,-72.0996169"
09015,"Windham County, CT","41.634583,42.0288995,-72.2531423,-71.7869939"
10001,"Kent County, DE","38.8292881,39.3863515,-75.7600805,-75.1369617"
10003,"New Castle County, DE","39.290558,39.8394337,-75.7890402,-75.4052808"
10005,"Sussex County, DE","38.4511276,39.0008138,-75.722746,-74.9849354"
11001,"District of Columbia, DC","38.7916303,38.9958524,-77.1197662,-76.9093659"
12001,"Alachua County, FL","29.417057,29.945254,-82.6585539,-82.0490519"
12003,"Baker County, FL","30.136449,30.584267,-82.4597929,-82.0488159"
12005,"Bay County, FL","29.901033,30.567682,-85.9998929,-85.3837429"
12007,"Bradford County, FL","29.718232,30.14324,-82.4187279,-82.0461119"
12009,"Brevard County, FL","27.822058,28.791396,-80.9880138,-80.3850688"
12011,"Broward County, FL","25.95675,26.3346674,-80.8813892,-80.0152759"
12013,"Calhoun County, FL","30.199889,30.608128,-85.3897548,-84.9330179"
12015,"Charlotte County, FL","26.769552,27.035287,-82.4373269,-81.5622019"
12017,"Citrus County, FL","28.665671,29.0526,-82.8482478,-82.1691879"
12019,"Clay County, FL","29.71867,30.193466,-82.0494419,-81.5812068"
12021,"Collier County, FL","25.769452,26.517069,-81.9055009,-80.8729919"
12023,"Columbia County, FL","29.825587,30.597734,-82.8004769,-82.4525179"
12027,"DeSoto County, FL","27.031701,27.340702,-82.0575823,-81.5621959"
12029,"Dixie County, FL","29.25099,29.825449,-83.4812639,-82.9198259"
12031,"Duval County, FL","30.103748,30.586197,-82.0495019,-81.3167119"
12033,"Escambia County, FL","30.2266128,30.999032,-87.6348959,-86.9166069"
12035,"Flagler County, FL","29.261133,29.671087,-81.5236599,-81.0419229"
12037,"Franklin County, FL","29.535953,30.013931,-85.2463159,-84.2559479"
12039,"Gadsden County, FL","30.387797,30.7113744,-84.9330179,-84.2823541"
12041,"Gilchrist County, FL","29.562467,29.935479,-82.9729619,-82.6562589"
12043,"Glades County, FL","26.768203,27.210881,-81.5659309,-80.8702154"
12045,"Gulf County, FL","29.603548,30.201385,-85.4749959,-85.0179539"
12047,"Hamilton County, FL","30.317237,30.634406,-83.3095729,-82.6454779"
12049,"Hardee County, FL","27.336709,27.646647,-82.0557529,-81.5633019"
12051,"Hendry County, FL","26.2531235,26.958919,-81.5663029,-80.8797178"
12053,"Hernando County, FL","28.43329,28.694859,-82.7784369,-82.0544689"
12055,"Highlands County, FL","27.032288,27.646647,-81.5640899,-80.9418079"
12057,"Hillsborough County, FL","27.57055,28.173379,-82.8236689,-82.0540119"
12059,"Holmes County, FL","30.702975,30.996931,-86.0377719,-85.4979918"
12061,"Indian River County, FL","27.556737,27.861362,-80.8811719,-80.2635429"
12063,"Jackson County, FL","30.564336,31.000968,-85.6002909,-84.8579699"
12065,"Jefferson County, FL","30.012225,30.672127,-84.0762339,-83.6041209"
12067,"Lafayette County, FL","29.820684,30.260676,-83.3708899,-82.8752839"
12069,"Lake County, FL","28.34518,29.2767866,-81.9576409,-81.3496429"
12071,"Lee County, FL","26.316129,26.789551,-82.3350399,-81.5621799"
12073,"Leon County, FL","30.273438,30.6853225,-84.7153659,-83.9771649"
